ACT - Composite - 25th Percentile,actcm25
ACT - Composite - 75th Percentile,actcm75
ACT - English - 25th Percentile,acten25
ACT - English - 75th Percentile,acten75
ACT - Math - 25th Percentile,actmt25
ACT - Math - 7th Percentile,actmt75
ACT - Students Who Submitted Scores (%),actpct
Belongs To Parent Institution And Does Not Report Financial Data Independently,isgrouped
CPI,cpi_index
CPI - Deflator,cpi_conversion_2010
Cost - Per Completion of Education,eandr_completion
Cost - Per Degree,eandr_degree
Credit Hour Activity for Undergraduate Programs,credhoursug
Current Year Graduation Rate Survey Cohort As Percentage of Incoming Class,grscohortpct
Degrees Awarded - Bachelors,bachelordegrees
Degrees Awarded - Doctorates,doctordegrees
Degrees Awarded - Masters,masterdegrees
Degrees Awarded - Per 100 FTE Students,totaldegrees_100fte
Degrees Awarded - Professional ,firstprofdegrees
Education and General Expenditures - Fringe Benefits for Employees,eandg03
Education and General Expenditures - Salaries and Wages,eandg02
Enrollment - Asian (%),total_enrollment_asian_tot
Enrollment - Black (%),total_enrollment_black_tot
Enrollment - FTE,fte_count
Enrollment - First Year,enrlt
Enrollment - Hispanic (%),total_enrollment_hisp_tot
Enrollment - Multi-Ethnic (%),total_enrollment_multi_tot
Enrollment - Native American (%),total_enrollment_amin_tot
Enrollment - Part-Time Students,pt_ugentering
Enrollment - Total,total_enrollment
Enrollment - Unknown Ethnicity (%),total_enrollment_unkn_tot
Enrollment - White (%),total_enrollment_white_tot
"Expenditures - Instructional - Salaries, Wages, & Fringe Benefits (%)",labor_share_of_instructcost
Expenditures - Public Service (FASB) - All,pubserv01_fasb
Expenditures - Public Service - All,pubserv01
Expenditures - Public Service - Salaries & Wages,pubserv02
Expenditures - Research,research01
Expenditures - Research (FASB),research01_fasb
Expenditures - Research - Salaries & Wages,research02
"Expenditures - Research - Salaries, Wages, & Fringe Benefits (%)",labor_share_of_rescost
Expenditures - Restricted - Scholarships and Fellowships,grants01r
"Expenditures - Student Services - Salaries, Wages, & Fringe Benefits",labor_share_of_studservcost
Expenditures - Unrestricted - Scholarships and Fellowships,grants01u
Expenses - Instructional,instruction01
Expenses - Instructional (FASB),instruction01_fasb
Expenses - Instructional - Salaries & Wages,instruction02
Faculty - Full-Time,ftall1
Faculty - Full-Time (%),full_time_faculty_share
Faculty - Full-Time - Average Salary (Adjusted for 9-Month Contracts),ft_faculty_salary
Faculty - Full-Time - Salary Outlays,salarytotal
Faculty - Full-Time - Total (Including 9-Month Contracts),faculty_instr_headcount
Faculty - Total,total_faculty_all
Federal Aid - Average Amount,fed_grant_avg_amount
Federal Aid - Students Receiving,fed_grant_num
Federal Aid - Students Receiving (%),fed_grant_pct
Flagship,flagship
Goverment Reliance - A,govt_reliance_a
Government Reliance - B,govt_reliance_b
Government Reliance - C,govt_reliance_c
Graduation Rate - Four Year,grad_rate_150_p4yr
Graduation Rate - Two Year,grad_rate_150_p2yr
Grouped Institutions,groupid
HECA,heca_index
